id,feature,fc,pval,qval,chr,strand,start,end,t_name,num_exons,length,gene_id,gene_name,cov.S12M,FPKM.S12M,cov.S13M,FPKM.S13M,cov.S16F,FPKM.S16F,cov.S19F,FPKM.S19F,cov.S22F,FPKM.S22F,cov.S23M,FPKM.S23M,cov.S29F,FPKM.S29F,cov.S31M,FPKM.S31M,cov.S35F,FPKM.S35F,cov.S36F,FPKM.S36F,cov.S39F,FPKM.S39F,cov.S3F,FPKM.S3F,cov.S41F,FPKM.S41F,cov.S44F,FPKM.S44F,cov.S48M,FPKM.S48M,cov.S50F,FPKM.S50F,cov.S52F,FPKM.S52F,cov.S53F,FPKM.S53F,cov.S54F,FPKM.S54F,cov.S59M,FPKM.S59M,cov.S64M,FPKM.S64M,cov.S6M,FPKM.S6M,cov.S76F,FPKM.S76F,cov.S77F,FPKM.S77F,cov.S7M,FPKM.S7M,cov.S9M,FPKM.S9M
10108,transcript,23.9180936077326,5.71098723867181e-13,2.51048124088102e-09,NC_035781.1,+,29082249,29087003,rna-XM_022460952.1,8,2147,gene-LOC111120222,LOC111120222,6.650055,5.885139,3.239985,3.941753,0,0,0,0,0,0,6.454224,5.5354,0.058066,0.023759,4.962909,7.490849,0.272029,0.09774,0,0,0,0,0.288775,0.092856,0.211924,0.076045,0.384702,0.121771,10.928935,5.864635,0,0,0.189258,0.072717,1.132743,0.366843,0.902043,0.326069,35.059387,19.353493,27.854799,20.016972,4.68735,3.615668,0.161907,0.043707,0.223102,0.053289,6.763648,6.730879,8.237099,7.042597
10109,transcript,30.0494989536617,1.920166248226e-10,7.90704331371517e-08,NC_035781.1,-,29092829,29097538,rna-XM_022463945.1,8,2316,gene-LOC111122290,LOC111122290,6.647558,5.882929,8.310361,10.110353,0,0,0,0,0.333333,0.083609,19.037979,16.327731,0.913951,0.373968,3.779197,5.704193,0.263262,0.09459,0.475622,0.167152,0,0,0.32343,0.103999,0.729594,0.261803,0.576786,0.182571,20.433758,10.965069,0,0,1.827379,0.702116,0.506616,0.164069,1.072503,0.387686,59.972298,33.105926,45.333015,32.577141,19.662453,15.166969,0.714868,0.192979,0.074571,0.017812,14.762351,14.690828,17.408094,14.883661
10114,transcript,0.234533110688818,0.000389730246695086,0.0100458684368496,NC_035781.1,+,29124654,29135389,rna-XM_022461672.1,26,5132,gene-LOC111120737,LOC111120737,10.89333,9.640336,6.482772,7.886916,58.518116,17.750981,249.322952,71.956898,215.933838,54.162032,10.167257,8.719846,69.261299,28.340154,5.286967,7.979971,166.198761,59.715068,157.829208,55.467416,174.601227,50.20412,199.193726,64.05109,85.771049,30.777495,74.283722,23.513199,18.979063,10.184457,117.207855,40.709329,61.623825,23.677116,130.851822,42.376851,127.482895,46.082288,9.747078,5.380585,9.204742,6.614697,10.950506,8.44686,234.821167,63.390206,212.610199,50.783202,9.224649,9.179956,9.043051,7.731674
10141,transcript,11.6967868870319,0.00114375487057572,0.0225847622891072,NC_035781.1,-,29304481,29319435,rna-XM_022461367.1,25,3288,gene-LOC111120563,LOC111120563,4.730983,4.186806,7.344499,8.935289,4.494221,1.363284,14.025256,4.047818,13.919014,3.491264,14.362776,12.31809,8.60841,3.522366,5.280915,7.970836,11.160757,4.01005,15.514504,5.452409,17.647799,5.074376,9.451622,3.039186,12.830596,4.604043,7.189695,2.275771,19.639158,10.538674,16.094738,5.59012,10.852381,4.169704,14.070255,4.556705,13.393469,4.841447,94.663277,52.25605,41.115078,29.546053,13.336224,10.287124,0.055943,0.015102,21.61907,5.163843,0.148999,0.148277,12.968684,11.088032
10145,transcript,0.212289303866783,1.54979806987754e-07,1.81589756674131e-05,NC_035781.1,-,29328952,29335352,rna-XM_022457996.1,8,1856,gene-LOC111118491,LOC111118491,0,0,0,0,8.787064,2.665482,14.04849,4.054523,24.618769,6.175051,0,0,9.391109,3.842629,0,0,17.003773,6.109441,12.140627,4.266696,15.919718,4.57749,28.736006,9.240113,12.074712,4.332807,8.844197,2.799474,0,0,9.359374,3.250753,10.331359,3.969516,10.17989,3.296795,10.388721,3.755296,0,0,0,0,0,0,15.485453,4.180313,20.284348,4.845036,0,0,0,0
10149,transcript,1.891756484148,0.000976180019868211,0.0201252247218534,NC_035781.1,+,29356501,29369267,rna-XM_022463405.1,3,1918,gene-LOC111121917,LOC111121917,17.587696,15.564689,15.348349,18.672743,0.405109,0.122886,0.244547,0.070579,0.949427,0.238142,19.54756,16.764768,1.793621,0.733909,7.54882,11.393936,0.162669,0.058447,0.704855,0.247714,0,0,0.782792,0.251708,1.156839,0.415112,1.978624,0.626298,29.069653,15.599223,0.962461,0.334288,1.63604,0.6286,1.38634,0.448971,1.759917,0.636172,3.773328,2.082954,7.748293,5.568066,24.479355,18.882569,0.615174,0.166067,0.574035,0.137112,20.318808,20.220365,21.957932,18.773705
10151,transcript,0.0872256826997764,2.49392389353176e-05,0.00113356715599267,NC_035781.1,+,29382511,29399362,rna-XM_022458635.1,25,4026,gene-LOC111118920,LOC111118920,12.062545,10.675063,10.662978,12.972538,37.20562,11.286014,70.92202,20.468747,115.307602,28.922257,14.143105,12.129692,30.15752,12.339774,5.910021,8.920388,73.189575,26.29695,75.205711,26.430256,66.344894,19.076539,60.230862,19.367339,49.548656,17.7797,28.582836,9.047392,20.699091,11.10745,39.7981,13.822913,41.349766,15.887414,101.51828,32.877074,37.931442,13.711389,0.505736,0.279177,3.524494,2.532766,16.182312,12.482503,94.077591,25.396339,154.160217,36.822079,10.030786,9.982187,13.768763,11.772087
10160,transcript,2.03591611672272,0.000279827890395046,0.0077798580853061,NC_035781.1,+,29478041,29479299,rna-XR_002637447.1,3,683,gene-LOC111118460,LOC111118460,8.394961,7.429339,4.089312,4.975041,0,0,0,0,0,0,7.701803,6.605374,0.892204,0.36507,2.960453,4.468409,0,0,0,0,0,0,0,0,0,0,0.641288,0.202988,10.729905,5.757832,0,0,1.891195,0.726635,0,0,0.920937,0.332899,4.727609,2.609736,2.521997,1.812354,9.041716,6.974482,0,0,0,0,5.583665,5.556612,3.656351,3.126126
10163,transcript,0.548496274933523,0.000255629079306541,0.00722623799586526,NC_035781.1,+,29490795,29525004,rna-XM_022457367.1,18,3693,gene-LOC111118072,LOC111118072,14.377315,12.723579,11.162224,13.579919,68.798187,20.869355,114.275925,32.981083,88.035439,22.081663,15.358018,13.17165,47.97802,19.631518,8.023169,12.109903,71.884361,25.827988,87.970078,30.916159,91.565491,26.328366,85.88829,27.617529,64.737747,23.230049,92.093689,29.15063,23.934433,12.843585,90.038567,31.27273,59.182056,22.738939,62.411247,20.212115,76.351799,27.599511,19.43137,10.726511,19.997782,14.370775,15.205979,11.729392,101.031769,27.273626,126.129013,30.12666,13.779411,13.712651,15.30609,13.086479
10164,transcript,0.12588196025658,4.05129043650199e-05,0.00169121364569794,NC_035781.1,-,29529719,29534919,rna-XM_022464171.1,10,1839,gene-LOC111122398,LOC111122398,0,0,0,0,9.968552,3.023877,20.220984,5.835962,70.392609,17.656365,0,0,20.960783,8.576677,0,0,51.490318,18.500426,44.186886,15.529017,28.727623,8.260223,39.64201,12.746957,36.094032,12.951735,13.989703,4.428193,0,0,25.424849,8.83071,42.238369,16.228833,43.945442,14.231895,13.993588,5.058377,0,0,1.306195,0.938656,0,0,50.508873,13.63492,45.42152,10.849198,0,0,0.036163,0.030919
10166,transcript,0.361704061936659,0.000897131487514802,0.0188576117359578,NC_035781.1,+,29535283,29540719,rna-XM_022459046.1,8,1685,gene-LOC111119168,LOC111119168,9.182916,8.12666,5.335009,6.490552,70.247696,21.309051,187.171066,54.019292,240.938354,60.433839,8.798038,7.545549,63.24601,25.878834,5.080118,7.66776,173.898911,62.481725,145.384262,51.09377,234.776535,67.506682,147.321136,47.371368,108.745895,39.021632,83.060547,26.291348,16.809818,9.020407,107.71978,37.413874,104.918297,40.311725,185.414841,60.047288,115.10759,41.608885,18.607021,10.271453,16.76083,12.044642,11.392879,8.788092,143.921844,38.851844,152.934402,36.529285,9.092822,9.048768,8.161076,6.977599
10167,transcript,0.267363305793292,0.000411591400723443,0.0105046325003986,NC_035781.1,-,29541872,29546123,rna-XM_022459047.1,7,1981,gene-LOC111119169,LOC111119169,12.38743,10.962578,5.882123,7.156168,510.059326,154.72223,300.609924,86.75879,375.948181,94.297946,9.783942,8.391099,251.027191,102.714636,5.340691,8.06106,287.932678,103.453957,272.358337,95.717474,391.043854,112.439145,336.477661,108.194978,225.658005,80.973572,197.407867,62.485971,15.310281,8.215732,235.806259,81.901631,507.65976,195.053117,248.252396,80.397465,220.399323,79.669551,46.359921,25.591617,35.124939,25.241429,11.561205,8.917933,249.801651,67.434202,317.050323,75.729343,9.020793,8.977088,9.781122,8.362714
10173,transcript,0.360877023244802,0.00222448957805399,0.0370077770849327,NC_035781.1,+,29581613,29595067,rna-XM_022460805.1,5,2606,gene-LOC111120116,LOC111120116,1.523033,1.347848,4.408626,5.363518,8.723189,2.646106,3.117781,0.89982,2.424675,0.608174,1.334655,1.144653,3.320495,1.358671,0.904758,1.365611,1.222346,0.439188,2.663818,0.936171,1.745097,0.501778,1.233039,0.396486,3.804948,1.365341,4.436841,1.404404,3.453476,1.853188,2.210958,0.767923,5.175317,1.988461,1.806578,0.585067,5.747669,2.077657,0.129137,0.071286,0.424141,0.304796,4.920048,3.795163,2.982082,0.805016,3.819507,0.912312,2.122334,2.112051,2.437548,2.084067
10178,transcript,0.236817876319201,0.000343041990568671,0.00910764665515477,NC_035781.1,+,29601894,29612297,rna-XM_022458355.1,22,4896,gene-LOC111118745,LOC111118745,10.141861,8.975304,8.87314,10.795028,103.704666,31.457943,469.560516,135.519485,399.980255,100.325839,10.819912,9.279589,113.080063,46.269799,6.64144,10.024367,284.76474,102.31572,304.985901,107.184089,295.758301,85.041128,337.233826,108.438125,217.863022,78.176473,173.521454,54.925149,19.734936,10.59007,231.765289,80.498098,81.744896,31.408037,229.564102,74.345191,268.667694,97.117515,17.23897,9.516261,14.237234,10.231139,14.929733,11.516305,439.479736,118.637989,428.911926,102.448148,9.555695,9.509398,10.262419,8.774216
10189,transcript,0.481820861133966,0.000709982185797653,0.0158440930853065,NC_035781.1,+,29720091,29738089,rna-XM_022460955.1,15,2286,gene-LOC111120226,LOC111120226,11.84173,10.479647,16.527746,20.107593,47.893585,14.528118,33.683487,9.721364,48.178234,12.084401,13.850443,11.878693,36.17305,14.801192,7.851415,11.850663,24.2686,8.719687,39.298119,13.810911,32.626961,9.381423,26.226213,8.433085,26.779751,9.609462,44.477066,14.078429,26.218615,14.069312,28.576939,9.925512,40.68618,15.632451,29.569225,9.576104,27.610235,9.980498,9.74691,5.380492,13.894564,9.98489,21.282261,16.416436,30.998737,8.36814,50.318665,12.01891,13.728343,13.66183,19.058681,16.294889
102,transcript,27.3499427384933,0.000135374562923563,0.00438514496655168,NC_035780.1,-,625969,660054,rna-XM_022490297.1,15,4088,gene-LOC111138321,LOC111138321,3.765293,3.332194,0.369997,0.450137,0,0,0,0,0,0,7.679144,6.585941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.037651,0.707729,5.302052,2.037155,1.122874,0.363647,5.222038,1.887653,49.177521,27.14699,40.594578,29.172013,4.740583,3.65673,3.546847,0.957475,0,0,9.011285,8.967626,5.13218,4.387938
10219,transcript,2.91280823460572,0.00278772102708325,0.0435152888064581,NC_035781.1,-,29960221,29963192,rna-XM_022462985.1,2,1070,gene-LOC111121628,LOC111121628,11.325806,10.023067,10.26729,12.491146,0.557009,0.168964,1.053493,0.304048,3.77944,0.947986,16.962091,14.547367,1.988785,0.813766,6.559143,9.900151,1.840187,0.661178,2.306542,0.81061,0.746729,0.214711,2.198143,0.706817,1.871963,0.671722,1.586916,0.50231,26.684114,14.319106,0.886916,0.308049,3.701869,1.422333,0,0,2.272592,0.821492,19.461685,10.743245,2.488777,1.788481,17.585981,13.565247,0.988785,0.266923,0.630841,0.15068,15.742288,15.666018,18.455156,15.778884
10220,transcript,67.822692250638,6.95268411732286e-08,9.24274323490164e-06,NC_035781.1,+,29963178,29965490,rna-XM_022462984.1,5,817,gene-LOC111121627,LOC111121627,17.369034,15.371178,8.598526,10.460934,2.409425,0.730879,11.268054,3.252064,14.177478,3.556094,19.083231,16.366541,8.922889,3.651044,8.194378,12.36832,8.699511,3.125727,11.474297,4.032521,13.629131,3.918864,10.651163,3.4249,7.795594,2.797318,4.02754,1.274847,18.115063,9.720821,2.652387,0.921243,17.787027,6.834134,6.614443,2.142112,6.481028,2.34275,319.279053,176.248518,241.473694,173.527451,14.021297,10.815567,8.948592,2.415681,7.487761,1.788496,26.18972,26.062832,15.227662,13.019424
10224,transcript,0.103549508455618,5.56838466558851e-06,0.000357566724339918,NC_035781.1,-,29971940,30005488,rna-XM_022459053.1,73,12119,gene-LOC111119175,LOC111119175,13.705922,12.129412,10.959722,13.333556,135.466675,41.092683,402.200134,116.078659,267.603241,67.122112,14.562122,12.489057,129.266403,52.892882,6.954584,10.497016,263.481079,94.668519,127.696228,44.877497,295.234741,84.890586,219.307678,70.518766,180.564224,64.792428,205.237976,64.964454,23.992285,12.874629,213.64238,74.203541,79.530563,30.557246,155.187378,50.258011,281.88504,101.895297,5.820807,3.213204,10.968916,7.882465,15.577395,12.01589,504.337524,136.146413,350.886536,83.811322,11.927102,11.869316,15.595786,13.334165
10227,transcript,18.1616172242308,0.000836008211189343,0.0179413059687024,NC_035781.1,-,30013267,30023797,rna-XM_022459405.1,20,2148,gene-LOC111119334,LOC111119334,1.369061,1.211586,0,0,0,0,0,0,0,0,0.376713,0.323084,0.392585,0.160637,0.182206,0.275016,0,0,5.036067,1.769873,0,0,0,0,0,0,68.02903,21.533387,0.149729,0.080347,0,0,0.120457,0.046282,0,0,0,0,45.940857,25.360286,7.710203,5.540694,0.204116,0.157448,0,0,0,0,0.663248,0.660035,0.118943,0.101694
10247,transcript,0.364870215051765,0.00117616187550951,0.0230440474191211,NC_035781.1,-,30132548,30136862,rna-XM_022457336.1,8,1533,gene-LOC111118049,LOC111118049,11.444744,10.128324,9.873075,12.011545,52.288315,15.861223,94.028687,27.137544,196.019226,49.16691,12.498717,10.719399,52.777233,21.595247,7.753587,11.703005,89.676117,32.22055,105.37606,37.033308,94.49675,27.171208,66.598854,21.414978,95.515984,34.274301,109.712662,34.727604,18.400564,9.874025,118.968033,41.320684,48.775284,18.740448,151.685562,49.123935,85.761597,31.000948,14.65884,8.091977,13.887803,9.980031,17.109602,13.197784,88.23027,23.817849,104.292572,24.910897,9.517719,9.471606,11.372702,9.723491
10254,transcript,68.0337777042778,1.5033747913229e-08,2.62581445552179e-06,NC_035781.1,+,30193708,30202897,rna-XM_022463822.1,11,1521,gene-LOC111122197,LOC111122197,25.056553,22.174448,10.885914,13.243761,5.054887,1.533358,67.892265,19.594332,43.224598,10.841895,33.187962,28.463322,13.273505,5.431217,6.801349,10.265728,39.074398,14.039397,30.638395,10.767542,27.906746,8.024191,26.908939,8.652616,21.346287,7.659755,23.610895,7.473611,20.533998,11.018859,41.798092,14.517562,23.45365,9.011365,27.868536,9.025329,16.531523,5.975785,493.494049,272.418732,383.720306,275.74849,20.534552,15.839678,40.98357,11.063555,63.434879,15.151796,30.179026,30.03281,16.945215,14.487907
10255,transcript,0.163146914394164,0.000562652378374495,0.0133766263080845,NC_035781.1,-,30208643,30219182,rna-XM_022460856.1,15,2994,gene-LOC111120135,LOC111120135,20.104382,17.791896,21.740004,26.448806,189.263626,57.411538,956.764465,276.131027,1251.424316,313.89098,26.698046,22.897311,359.591583,147.136725,8.225208,12.414854,856.67572,307.802831,943.024475,331.416038,1271.166382,365.505966,729.264221,234.496182,684.69104,245.689839,833.07843,263.696253,35.92004,19.275246,1059.744629,368.076803,235.553482,90.504398,855.278992,276.985293,907.145813,327.913438,30.396488,16.779478,42.121742,30.269461,33.305389,25.690681,1748.174072,471.921317,1450.803833,346.533067,20.472803,20.373613,19.726698,16.866033
10259,transcript,0.336423913623301,0.000104684944574496,0.00358987146583263,NC_035781.1,-,30255360,30274223,rna-XM_022459298.1,20,5056,gene-LOC111119285,LOC111119285,12.436374,11.005893,8.684137,10.565088,45.892605,13.921138,132.325851,38.190458,113.614441,28.497567,13.886925,11.909982,101.734596,41.627491,6.404258,9.666373,69.966713,25.138978,96.182213,33.802228,92.495537,26.595787,107.841965,34.676772,107.043701,38.410828,71.927208,22.767286,23.026854,12.356564,84.832275,29.46445,59.653149,22.919943,91.955101,29.780003,57.304111,20.714187,14.758134,8.14679,13.618649,9.786612,14.594817,11.257962,132.668259,35.813928,128.785507,30.761179,13.624048,13.55804,13.851702,11.842999
10266,transcript,0.383232305251218,1.0528505132168e-06,8.95579258632126e-05,NC_035781.1,-,30350322,30356277,rna-XM_022461819.1,8,1517,gene-LOC111120831,LOC111120831,9.113865,8.065552,6.250029,7.603761,46.798508,14.195936,29.694794,8.570191,60.541206,15.185368,8.73753,7.493655,35.533283,14.539414,4.687899,7.075758,38.314213,13.766263,45.953857,16.15,54.651291,15.714208,39.150627,12.588952,36.909359,13.244301,34.870686,11.037699,13.297153,7.135457,39.439819,13.698472,34.209072,13.143815,47.226761,15.294563,32.313778,11.680726,7.79565,4.303357,9.135092,6.564646,11.224838,8.658471,48.910023,13.203309,38.624916,9.225789,8.060454,8.021402,7.810907,6.678209
10267,transcript,2.81030389114171,2.50359288411772e-06,0.000185079375534924,NC_035781.1,-,30357522,30361814,rna-XM_022457427.1,5,1564,gene-LOC111118114,LOC111118114,10.437635,9.237057,9.298618,11.312663,10.503696,3.186208,8.814071,2.543822,11.201808,2.809716,12.807077,10.983861,7.85467,3.213953,6.52808,9.853265,9.194568,3.3036,13.666629,4.802993,11.485844,3.302592,12.067345,3.880276,9.848569,3.533993,5.201005,1.646286,21.522009,11.549041,9.95566,3.457859,8.386262,3.222171,10.442459,3.381829,10.513635,3.80045,24.726549,13.649557,10.926487,7.851975,13.964879,10.772048,9.142995,2.468161,12.15571,2.903463,11.950569,11.892669,12.438809,10.634997
10277,transcript,5.3413447823102,0.000183361321166697,0.00561205598774595,NC_035781.1,-,30472967,30478014,rna-XM_022462923.1,3,865,gene-LOC111121584,LOC111121584,19.825434,17.545033,28.06813,34.14758,8.758381,2.656782,1.219653,0.352003,0,0,18.451702,15.824917,2.245087,0.918639,6.51177,9.828648,0.517919,0.186088,1.212726,0.4262,1.085549,0.312134,2.149133,0.691057,1.582659,0.567911,4.392818,1.390469,59.450871,31.902251,0,0,6.063248,2.329622,0.338534,0.109635,2.851182,1.03064,21.334103,11.776858,19.344509,13.901321,35.545662,27.418754,0,0,3.844906,0.918379,19.453176,19.358927,17.050867,14.578238
10278,transcript,0.457126182324003,0.00188414333736908,0.0327167604217922,NC_035781.1,+,30478460,30490287,rna-XM_022459466.1,11,2799,gene-LOC111119372,LOC111119372,14.046215,12.430563,8.297615,10.094847,147.139694,44.633595,229.94249,66.363518,183.753479,46.09033,14.414621,12.362555,112.144508,45.886991,7.155818,10.800752,119.87014,43.069236,149.83493,52.657911,246.311172,70.823304,192.962128,62.047309,115.103958,41.303115,90.373756,28.606215,23.314974,12.511173,112.117546,38.941332,183.817245,70.626292,116.645233,37.775994,130.829758,47.292106,41.185959,22.735485,22.142908,15.912302,13.527508,10.434674,146.219559,39.472114,228.717392,54.6305,11.420271,11.36494,16.313751,13.948014
10280,transcript,0.0625237689101327,0.00201547863233076,0.0345385575937554,NC_035781.1,+,30499024,30500904,rna-XM_022460958.1,2,1469,gene-LOC111120231,LOC111120231,9.919046,8.778118,7.962043,9.686591,14.104701,4.278543,387.406952,111.809211,445.192078,111.666184,11.62291,9.968272,70.937469,29.026004,6.821118,10.295567,307.694794,110.554468,313.783508,110.275915,477.657684,137.343731,405.743378,130.467491,176.127914,63.200533,79.844162,25.273258,17.841551,9.574051,178.645828,62.048331,60.580101,23.276096,270.289551,87.53428,204.77774,74.022689,1.80553,0.996689,3.554708,2.554479,11.81138,9.11091,342.89093,92.563745,434.280396,103.730438,9.979391,9.931041,12.587805,10.762386
